"houseID","totalPrice","date"
"103101759557","510","2019-02-02 21:50:47"
"103101759673","1850","2019-02-02 21:53:35"
"103101759869","450","2019-01-01 17:22:23"
"103101760628","280","2019-02-02 21:48:13"
"103101762191","839","2019-01-01 17:13:38"
"103101764173","235","2019-02-02 21:52:11"
"103101765922","325","2019-02-02 22:01:43"
"103101765922","335","2019-01-01 17:20:46"
"103101767092","920","2019-02-02 22:01:51"
"103101767832","950","2019-02-02 21:58:27"
"103101768600","500","2019-02-02 21:53:51"
"103101769780","510","2019-01-01 17:16:38"
"103101769978","425","2019-02-02 21:50:55"
"103101770601","330","2019-02-02 21:51:58"
"103101770625","275","2019-02-02 21:52:44"
"103101771743","910","2019-02-02 21:49:24"
"103101772417","520","2019-01-01 17:10:36"
"103101772507","650","2019-02-02 22:00:50"
"103101772932","508","2019-02-02 21:59:52"
"103101772993","480","2019-02-02 22:02:07"
"103101773092","900","2019-01-01 17:20:50"
"103101773892","215","2019-02-02 21:59:16"
"103101774397","380","2019-02-02 21:48:53"
"103101774874","105","2019-02-02 21:53:29"
"103101775298","980","2019-02-02 22:01:49"
"103101776684","632","2019-02-02 22:01:21"
"103101779147","300","2019-02-02 21:54:41"
"103101779297","440","2019-02-02 21:57:44"
"103101779297","455","2019-01-01 17:16:51"
"103101780329","560","2019-02-02 21:50:34"
"103101781112","480","2019-02-02 21:54:31"
"103101781515","500","2019-02-02 21:50:32"
"103101781944","180","2019-02-02 21:53:11"
"103101782932","620","2019-01-01 17:16:18"
"103101783965","610","2019-02-02 21:48:49"
"103101784096","560","2019-02-02 22:03:03"
"103101784498","235","2019-02-02 21:53:03"
"103101785034","270","2019-02-02 21:59:38"
"103101785581","420","2019-02-02 21:50:45"
"103101785624","340","2019-02-02 21:53:05"
"103101785632","240","2019-02-02 21:53:17"
"103101786719","510","2019-02-02 21:53:13"
"103101786792","750","2019-02-02 22:00:15"
"103101787105","400","2019-01-01 17:16:30"
"103101787765","260","2019-02-02 21:53:13"
"103101788250","495","2019-02-02 21:50:47"
"103101788741","299","2019-02-02 21:59:14"
"103101790646","168","2019-02-02 21:53:53"
"103101790806","590","2019-02-02 21:48:13"
"103101791822","1150","2019-01-01 17:07:39"
"103101792378","450","2019-02-02 21:57:37"
"103101793727","240","2019-02-02 22:01:04"
"103101795629","210","2019-01-01 17:09:10"
"103101796136","180","2019-01-01 17:16:30"
"103101796221","540","2019-02-02 21:53:37"
"103101796851","745","2019-02-02 22:01:43"
"103101797026","207","2019-02-02 21:59:10"
"103101797180","460","2019-02-02 22:02:05"
"103101797598","280","2019-02-02 21:59:20"
"103101798051","350","2019-02-02 21:57:35"
"103101798219","580","2019-02-02 21:53:03"
"103101798743","980","2019-02-02 21:50:32"
"103101799251","300","2019-02-02 22:01:00"
"103101799581","220","2019-02-02 22:01:39"
"103101799865","148","2019-01-01 17:22:23"
"103101799865","155","2019-02-02 22:02:21"
"103101800047","690","2019-02-02 21:48:39"
"103101801541","550","2019-02-02 21:51:03"
"103101801737","260","2019-01-01 17:16:24"
"103101801787","207","2019-02-02 21:53:09"
"103101801817","244","2019-01-01 17:10:18"
"103101802259","255","2019-02-02 21:57:31"
"103101802700","192","2019-02-02 21:57:57"
"103101802734","280","2019-02-02 21:51:25"
"103101802758","450","2019-02-02 22:03:17"
"103101802845","900","2019-02-02 21:50:02"
"103101802890","385","2019-01-01 17:09:10"
"103101804500","350","2019-02-02 21:59:28"
"103101804663","500","2019-02-02 21:51:15"
"103101804743","135","2019-02-02 21:48:57"
"103101804743","140","2019-01-01 17:08:00"
"103101804895","178","2019-02-02 21:52:00"
"103101805476","265","2019-02-02 21:59:08"
"103101806093","305","2019-02-02 21:57:27"
"103101808135","95","2019-02-02 21:57:33"
"103101808314","400","2019-02-02 21:53:29"
"103101810678","488","2019-02-02 21:53:57"
"103101811047","350","2019-02-02 21:53:27"
"103101812190","325","2019-02-02 21:59:52"
"103101812915","530","2019-02-02 21:52:07"
"103101813284","460","2019-02-02 21:52:04"
"103101813385","408.5","2019-01-01 17:19:20"
"103101813385","415","2019-02-02 22:00:12"
"103101813455","1200","2019-02-02 21:50:59"
"103101813811","480","2019-02-02 21:53:05"
"103101813958","880","2019-02-02 21:54:51"
"103101814707","596","2019-02-02 21:50:36"
"103101815528","495","2019-02-02 22:01:43"
"103101815996","445","2019-02-02 21:57:53"
"103101816508","185","2019-02-02 21:59:20"
"103101816576","1020","2019-02-02 22:03:03"
"103101817151","160","2019-02-02 21:48:35"
"103101817453","330","2019-02-02 21:53:07"
"103101818282","220","2019-02-02 21:53:03"
"103101818943","710","2019-01-01 17:10:39"
"103101819985","156","2019-01-01 17:13:16"
"103101820090","185","2019-02-02 21:57:19"
"103101821271","215","2019-02-02 21:59:00"
"103101821275","66","2019-01-01 17:16:38"
"103101824430","650","2019-02-02 21:58:11"
"103101825288","355","2019-02-02 21:52:17"
"103101825368","1100","2019-02-02 22:02:05"
"103101826217","768","2019-02-02 22:03:05"
"103101826291","148","2019-02-02 21:59:30"
"103101826581","170","2019-02-02 21:50:59"
